Temp,Speed
15,0.0390625
20,0.123489279
25,0.286935287
30,0.5
34,0.15625
15,0.020833333
20,0.102648579
25,0.240093766
30,0.243297101
34,0.15625
15,0
20,0.166666667
25,0.254166667
30,0.286935287
34,0.053763441
15,0
20,0.169326877
25,0.257648953
30,0.149679755
34,0
15,0
20,0.194805195
25,0.393939394
30,0.166666667
34,0
15,0
20,0.173280423
25,0.40625
30,0.390831391
34,0
15,0.046640993
20,0.363425926
25,0.833333333
30,0.416666667
34,0.568181818
15,0.041666667
20,0.263888889
25,0.384615385
30,0.442307692
34,0.25
15,0
20,0.3125
25,0.442307692
30,0.442307692
34,0
15,0.014367816
20,0.25
25,0.333333333
30,0.411796537
34,0.335968379
15,0
20,0.075230182
25,0.151386531
30,0.175213675
34,0
15,0.055555556
20,0.162872629
25,0.296296296
30,0.333333333
34,0
15,0
20,0.275641026
25,0.238095238
30,0.245535714
34,0
15,0.08287796
20,0.225396825
25,0.301587302
30,0.300925926
34,0
15,0.059659091
20,0.074252137
25,0.264945652
30,0.266666667
34,0
15,0.009469697
20,0.192307692
25,0.161290323
30,0.300925926
34,0
15,0
20,0.296474359
25,0.359085359
30,0.335275835
34,0
15,0.111111111
20,0.2
25,0.319444444
30,0.423076923
34,0.25625
15,0.044642857
20,0.25289764
25,0.311355311
30,0.5625
34,0
15,0.083266183
20,0.206959707
25,0.390831391
30,0.442307692
34,0.1
15,0
20,0.215201465
25,0.331196581
30,0.295138889
34,0.301003344
15,0.082833193
20,0.112487361
25,0.218783069
30,0.194805195
34,0
15,0.102083333
20,0.205549155
25,0.287037037
30,0.442307692
34,0
15,0.009633911
20,0.179953917
25,0.3125
30,0.272952854
34,0
15,0
20,0.217391304
25,0.28125
30,0.295138889
34,0
15,0.012820513
20,0.172619048
25,0.414141414
30,0.305555556
34,0
