ind.id	family	cont.id	tmt	dead	sex	dev.rate	temp	year
1	E	C1	35	1	NA	0	35.0248958333333	2018
2	E	C1	35	1	NA	0	35.0248958333333	2018
3	E	C1	35	1	NA	0	35.0248958333333	2018
4	E	C1	35	1	NA	0	35.0248958333333	2018
5	E	C1	35	1	NA	0	35.0248958333333	2018
6	E	C2	30	0	M	0.0714285714285714	30.5009513888889	2018
7	E	C2	30	1	NA	0	30.3689583333333	2018
8	E	C2	30	1	NA	0	30.3689583333333	2018
9	E	C2	30	1	NA	0	30.3689583333333	2018
10	E	C3	25	0	F	0.0909090909090909	24.6125173611111	2018
11	E	C3	25	0	M	0.0833333333333333	24.6383733974359	2018
12	E	C3	25	0	M	0.0833333333333333	24.6383733974359	2018
13	E	C3	25	0	M	0.0833333333333333	24.6383733974359	2018
14	E	C3	25	1	NA	0	24.6571875	2018
15	E	C4	20	0	M	0.0666666666666667	20.1179296875	2018
16	E	C4	20	0	F	0.0555555555555556	20.1339254385965	2018
17	E	C4	20	0	F	0.0555555555555556	20.1339254385965	2018
18	E	C4	20	0	F	0.0526315789473684	20.1377395833333	2018
19	E	C4	20	1	NA	0	20.0492708333333	2018
20	E	C5	15	0	F	0.0344827586206897	14.7701284722222	2018
21	E	C5	15	0	M	0.0333333333333333	14.7754301075269	2018
22	E	C5	15	0	F	0.032258064516129	14.77923828125	2018
23	E	C5	15	1	NA	0	14.3130208333333	2018
24	E	C5	15	1	NA	0	14.3130208333333	2018
25	E	C6	10	0	F	0.0151515151515152	10.8453000621891	2018
26	E	C6	10	0	F	0.0144927536231884	10.829681547619	2018
27	E	C6	10	1	NA	0	11.1419791666667	2018
28	E	C6	10	1	NA	0	11.1419791666667	2018
29	E	C6	10	1	NA	0	11.1419791666667	2018
30	E	C7	35	1	NA	0	35.0248958333333	2018
31	E	C7	35	1	NA	0	35.0248958333333	2018
32	E	C7	35	1	NA	0	35.0248958333333	2018
33	E	C7	35	1	NA	0	35.0248958333333	2018
34	E	C7	35	1	NA	0	35.0248958333333	2018
35	E	C8	20	0	M	0.05	20.1389285714286	2018
36	E	C8	20	0	F	0.05	20.1389285714286	2018
37	E	C8	20	0	F	0.0454545454545455	20.1577173913043	2018
38	E	C8	20	0	M	0.0434782608695652	20.1680946180556	2018
39	E	C8	20	1	NA	0	20.1627083333333	2018
40	E	C9	30	0	F	0.0833333333333333	30.4585336538462	2018
41	E	C9	30	0	F	0.0769230769230769	30.4699702380952	2018
42	E	C9	30	0	M	0.0714285714285714	30.480375	2018
43	E	C9	30	1	NA	0	30.3391666666667	2018
44	E	C9	30	1	NA	0	30.3391666666667	2018
45	E	C10	25	0	M	0.1	24.5102178030303	2018
46	E	C10	25	0	M	0.1	24.5102178030303	2018
47	E	C10	25	0	F	0.0909090909090909	24.5371614583333	2018
48	E	C10	25	0	M	0.0909090909090909	24.5371614583333	2018
49	E	C10	25	0	F	0.0909090909090909	24.5371614583333	2018
50	E	C11	10	0	F	0.0138888888888889	10.8376555365297	2018
51	E	C11	10	1	NA	0	10.9160416666667	2018
52	E	C11	10	1	NA	0	10.9160416666667	2018
53	E	C11	10	1	NA	0	10.9160416666667	2018
54	E	C11	10	1	NA	0	10.9160416666667	2018
55	E	C12	15	0	M	0.0333333333333333	14.7871639784946	2018
56	E	C12	15	0	M	0.03125	14.7672569444444	2018
57	E	C12	15	0	M	0.0303030303030303	14.772175245098	2018
58	E	C12	15	0	F	0.0303030303030303	14.772175245098	2018
59	E	C12	15	0	M	0.027027027027027	14.7812417763158	2018
60	D	C13	20	0	F	0.0526315789473684	20.1032604166667	2018
61	D	C13	20	0	M	0.05	20.1061706349206	2018
62	D	C13	20	0	F	0.05	20.1061706349206	2018
63	D	C13	20	0	F	0.0476190476190476	20.1076751893939	2018
64	D	C13	20	1	NA	0	19.9311458333333	2018
65	D	C14	15	0	M	0.032258064516129	14.7667447916667	2018
66	D	C14	15	0	M	0.03125	14.7768339646465	2018
67	D	C14	15	0	M	0.03125	14.7768339646465	2018
68	D	C14	15	0	F	0.0277777777777778	14.7671537162162	2018
69	D	C14	15	1	NA	0	14.5322916666667	2018
70	D	C15	10	1	NA	0	11.0264583333333	2018
71	D	C15	10	1	NA	0	11.0264583333333	2018
72	D	C15	10	1	NA	0	11.0264583333333	2018
73	D	C15	10	1	NA	0	11.0264583333333	2018
74	D	C15	10	1	NA	0	11.0264583333333	2018
75	D	C16	10	0	F	0.012987012987013	10.8220486111111	2018
76	D	C16	10	1	NA	0	11.0264583333333	2018
77	D	C16	10	1	NA	0	11.0264583333333	2018
78	D	C16	10	1	NA	0	11.0264583333333	2018
79	D	C16	10	1	NA	0	11.0264583333333	2018
80	D	C17	20	0	F	0.0555555555555556	20.1026918859649	2018
81	D	C17	20	0	M	0.0555555555555556	20.1026918859649	2018
82	D	C17	20	0	M	0.0555555555555556	20.1026918859649	2018
83	D	C17	20	0	F	0.0555555555555556	20.1026918859649	2018
84	D	C17	20	0	F	0.0526315789473684	20.1032604166667	2018
85	D	C18	25	0	M	0.1	24.5161458333333	2018
86	D	C18	25	0	F	0.0909090909090909	24.5208159722222	2018
87	D	C18	25	0	M	0.0833333333333333	24.5336217948718	2018
88	D	C18	25	0	F	0.0833333333333333	24.5336217948718	2018
89	D	C18	25	0	M	0.0833333333333333	24.5336217948718	2018
90	D	C19	30	0	M	0.111111111111111	30.3989895833333	2018
91	D	C19	30	0	M	0.111111111111111	30.3989895833333	2018
92	D	C19	30	0	F	0.111111111111111	30.3989895833333	2018
93	D	C19	30	1	NA	0	30.2817708333333	2018
94	D	C19	30	1	NA	0	30.2817708333333	2018
95	D	C20	35	1	NA	0	34.9078125	2018
96	D	C20	35	1	NA	0	34.9078125	2018
97	D	C20	35	1	NA	0	34.9078125	2018
98	D	C20	35	1	NA	0	34.9078125	2018
99	D	C20	35	1	NA	0	34.9078125	2018
100	D	C21	25	0	M	0.0909090909090909	24.5421180555556	2018
101	D	C21	25	0	M	0.0909090909090909	24.5421180555556	2018
102	D	C21	25	0	M	0.0833333333333333	24.5444310897436	2018
103	D	C21	25	0	F	0.0833333333333333	24.5444310897436	2018
104	D	C21	25	0	M	0.0833333333333333	24.5444310897436	2018
105	D	C22	30	0	F	0.1	30.3965340909091	2018
106	D	C22	30	0	M	0.0909090909090909	30.3943402777778	2018
107	D	C22	30	0	F	0.0909090909090909	30.3943402777778	2018
108	D	C22	30	1	NA	0	30.3719791666667	2018
109	D	C22	30	1	NA	0	30.3719791666667	2018
110	D	C23	35	1	NA	0	34.8897916666667	2018
111	D	C23	35	1	NA	0	34.8897916666667	2018
112	D	C23	35	1	NA	0	34.8897916666667	2018
113	D	C23	35	1	NA	0	34.8897916666667	2018
114	D	C23	35	1	NA	0	34.8897916666667	2018
115	C	C24	20	0	F	0.0555555555555556	20.0681853070175	2018
116	C	C24	20	0	F	0.0526315789473684	20.0770572916667	2018
117	C	C24	20	0	F	0.05	20.0848412698413	2018
118	C	C24	20	0	F	0.05	20.0848412698413	2018
119	C	C24	20	1	NA	0	20.03	2018
120	C	C25	10	0	F	0.0161290322580645	10.9181514550265	2018
121	C	C25	10	0	F	0.0140845070422535	10.8810474537037	2018
122	C	C25	10	1	NA	0	11.0126041666667	2018
123	C	C25	10	1	NA	0	11.0126041666667	2018
124	C	C25	10	1	NA	0	11.0126041666667	2018
125	C	C26	10	1	NA	0	11.0126041666667	2018
126	C	C26	10	1	NA	0	11.0126041666667	2018
127	C	C26	10	1	NA	0	11.0126041666667	2018
128	C	C26	10	1	NA	0	11.0126041666667	2018
129	C	C26	10	1	NA	0	11.0126041666667	2018
130	C	C27	15	0	F	0.0333333333333333	14.7186290322581	2018
131	C	C27	15	0	F	0.0285714285714286	14.8049884259259	2018
132	C	C27	15	0	M	0.0227272727272727	14.8064259259259	2018
133	C	C27	15	1	NA	0	15.1515625	2018
134	C	C27	15	1	NA	0	15.1515625	2018
135	C	C28	15	0	M	0.032258064516129	14.7438509114583	2018
136	C	C28	15	0	M	0.0294117647058824	14.796568452381	2018
137	C	C28	15	0	F	0.0294117647058824	14.796568452381	2018
138	C	C28	15	0	M	0.0294117647058824	14.796568452381	2018
139	C	C28	15	0	M	0.0256410256410256	14.79321875	2018
140	C	C28	15	1	NA	0	15.1515625	2018
141	C	C29	20	0	F	0.05	20.0848412698413	2018
142	C	C29	20	0	M	0.04	20.0991025641026	2018
143	C	C29	20	1	NA	0	20.03	2018
144	C	C29	20	1	NA	0	20.03	2018
145	C	C29	20	1	NA	0	20.03	2018
146	C	C30	25	0	M	0.0769230769230769	24.6121354166667	2018
147	C	C30	25	0	M	0.0769230769230769	24.6121354166667	2018
148	C	C30	25	0	F	0.0714285714285714	24.6094722222222	2018
149	C	C30	25	0	F	0.0714285714285714	24.6094722222222	2018
150	C	C30	25	0	M	0.0714285714285714	24.6094722222222	2018
151	C	C31	25	0	M	0.0909090909090909	24.6321614583333	2018
152	C	C31	25	0	F	0.0909090909090909	24.6321614583333	2018
153	C	C31	25	0	F	0.0909090909090909	24.6321614583333	2018
154	C	C31	25	0	M	0.0909090909090909	24.6321614583333	2018
155	C	C31	25	0	M	0.0909090909090909	24.6321614583333	2018
156	C	C32	30	0	M	0.1	30.3854261363636	2018
157	C	C32	30	0	M	0.1	30.3854261363636	2018
158	C	C32	30	0	M	0.1	30.3854261363636	2018
159	C	C32	30	0	F	0.0833333333333333	30.3970753205128	2018
160	C	C32	30	1	NA	0	30.4080208333333	2018
161	C	C33	30	0	M	0.0909090909090909	30.3910763888889	2018
162	C	C33	30	0	F	0.0909090909090909	30.3910763888889	2018
163	C	C33	30	0	M	0.0909090909090909	30.3910763888889	2018
164	C	C33	30	0	M	0.0833333333333333	30.3970753205128	2018
165	C	C33	30	1	NA	0	30.4080208333333	2018
166	C	C34	35	1	NA	0	35.0448958333333	2018
167	C	C34	35	1	NA	0	35.0448958333333	2018
168	C	C34	35	1	NA	0	35.0448958333333	2018
169	C	C34	35	1	NA	0	35.0448958333333	2018
170	C	C34	35	1	NA	0	35.0448958333333	2018
171	C	C35	35	1	NA	0	35.0448958333333	2018
172	C	C35	35	1	NA	0	35.0448958333333	2018
173	C	C35	35	1	NA	0	35.0448958333333	2018
174	C	C35	35	1	NA	0	35.0448958333333	2018
175	C	C35	35	1	NA	0	35.0448958333333	2018
176	B	C36	10	1	NA	0	11.0126041666667	2018
177	B	C36	10	1	NA	0	11.0126041666667	2018
178	B	C36	10	1	NA	0	11.0126041666667	2018
179	B	C36	10	1	NA	0	11.0126041666667	2018
180	B	C36	10	1	NA	0	11.0126041666667	2018
181	B	C37	10	0	F	0.0181818181818182	10.9018489583333	2018
182	B	C37	10	0	F	0.0175438596491228	10.9077065373563	2018
183	B	C37	10	0	M	0.0169491525423729	10.9125798611111	2018
184	B	C37	10	0	F	0.0147058823529412	10.8980932971014	2018
185	B	C37	10	1	NA	0	11.0126041666667	2018
186	B	C38	15	0	M	0.04	14.6823116987179	2018
187	B	C38	15	0	M	0.037037037037037	14.7038541666667	2018
188	B	C38	15	0	F	0.037037037037037	14.7038541666667	2018
189	B	C38	15	0	F	0.0357142857142857	14.710944683908	2018
190	B	C38	15	0	F	0.0333333333333333	14.7186290322581	2018
191	B	C39	15	0	F	0.0294117647058824	14.796568452381	2018
192	B	C39	15	1	NA	0	15.1515625	2018
193	B	C39	15	1	NA	0	15.1515625	2018
194	B	C39	15	1	NA	0	15.1515625	2018
195	B	C39	15	1	NA	0	15.1515625	2018
196	B	C40	20	0	F	0.0454545454545455	20.0898278985507	2018
197	B	C40	20	0	M	0.0434782608695652	20.0929340277778	2018
198	B	C40	20	1	NA	0	20.03	2018
199	B	C40	20	1	NA	0	20.03	2018
200	B	C41	20	0	M	0.0555555555555556	20.0681853070175	2018
201	B	C41	20	0	F	0.0526315789473684	20.0770572916667	2018
