Date,Temp,month
5/7/18 16:50,23.81,May
5/7/18 17:05,23.42,May
5/7/18 17:20,23.45,May
5/7/18 17:35,33.89,May
5/7/18 17:50,37.92,May
5/7/18 18:05,26.48,May
5/7/18 18:20,25.65,May
5/7/18 18:35,32.25,May
5/7/18 18:50,28.84,May
5/7/18 19:05,28.69,May
5/7/18 19:20,29.49,May
5/7/18 19:35,30.24,May
5/7/18 19:50,30.17,May
5/7/18 20:05,28.84,May
5/7/18 20:20,28.97,May
5/7/18 20:35,28.92,May
5/7/18 20:50,28.82,May
5/7/18 21:05,28.34,May
5/7/18 21:20,28.67,May
5/7/18 21:35,28.15,May
5/7/18 21:50,27.73,May
5/7/18 22:05,27.51,May
5/7/18 22:20,27.31,May
5/7/18 22:35,27.14,May
5/7/18 22:50,27.04,May
5/7/18 23:05,26.99,May
5/7/18 23:20,26.96,May
5/7/18 23:35,26.89,May
5/7/18 23:50,26.84,May
5/8/18 0:05,26.82,May
5/8/18 0:20,26.84,May
5/8/18 0:35,26.82,May
5/8/18 0:50,26.77,May
5/8/18 1:05,26.77,May
5/8/18 1:20,26.79,May
5/8/18 1:35,26.79,May
5/8/18 1:50,26.82,May
5/8/18 2:05,26.82,May
5/8/18 2:20,26.82,May
5/8/18 2:35,26.84,May
5/8/18 2:50,26.89,May
5/8/18 3:05,26.87,May
5/8/18 3:20,26.84,May
5/8/18 3:35,26.87,May
5/8/18 3:50,26.84,May
5/8/18 4:05,26.87,May
5/8/18 4:20,26.84,May
5/8/18 4:35,26.52,May
5/8/18 4:50,26.23,May
5/8/18 5:05,26.26,May
5/8/18 5:20,22.99,May
5/8/18 5:35,22.3,May
5/8/18 5:50,22.58,May
5/8/18 6:05,22.75,May
5/8/18 6:20,23.06,May
5/8/18 6:35,23.91,May
5/8/18 6:50,23.66,May
5/8/18 7:05,24.05,May
5/8/18 7:20,24.24,May
5/8/18 7:35,23.93,May
5/8/18 7:50,23.64,May
5/8/18 8:05,23.42,May
5/8/18 8:20,23.52,May
5/8/18 8:35,24.22,May
5/8/18 8:50,23.79,May
5/8/18 9:05,22.68,May
5/8/18 9:20,22.8,May
5/8/18 9:35,22.8,May
